Date,Close/Last,Volume,Open,High,Low
2/14/2025,$186.87 ,12714150,$186.83 ,$188.15 ,$186.11 
2/13/2025,$187.88 ,12729330,$185.93 ,$187.99 ,$184.88 
2/12/2025,$185.43 ,17632310,$185.23 ,$186.83 ,$183.63 
2/11/2025,$187.07 ,13028100,$186.84 ,$188.80 ,$186.08 
2/10/2025,$188.20 ,16606020,$189.06 ,$189.99 ,$187.61 
2/7/2025,$187.14 ,29565720,$192.74 ,$193.02 ,$185.10 
2/6/2025,$193.31 ,20816590,$190.99 ,$193.83 ,$190.49 
2/5/2025,$193.30 ,43719590,$193.10 ,$194.55 ,$189.91 
2/4/2025,$207.71 ,28285440,$204.50 ,$208.70 ,$204.26 
2/3/2025,$202.64 ,16719470,$202.22 ,$205.22 ,$201.66 
1/31/2025,$205.60 ,17087340,$203.72 ,$207.08 ,$203.58 
1/30/2025,$202.63 ,14571480,$199.76 ,$203.24 ,$199.47 
1/29/2025,$197.18 ,12287820,$197.37 ,$198.46 ,$195.19 
1/28/2025,$197.07 ,15939160,$194.65 ,$197.23 ,$192.61 
1/27/2025,$193.77 ,24970170,$194.19 ,$198.67 ,$192.70 
1/24/2025,$201.90 ,12732380,$199.85 ,$202.57 ,$199.78 
1/23/2025,$199.58 ,15170840,$199.98 ,$201.94 ,$196.82 
1/22/2025,$200.03 ,15477380,$200.55 ,$202.12 ,$199.20 
1/21/2025,$199.63 ,19005230,$200.51 ,$203.84 ,$199.44 
1/17/2025,$197.55 ,22109130,$198.05 ,$198.81 ,$195.31 
1/16/2025,$194.41 ,13449580,$195.83 ,$196.98 ,$194.30 
1/15/2025,$196.98 ,12894880,$194.35 ,$197.80 ,$193.33 
1/14/2025,$191.05 ,13651180,$192.50 ,$193.27 ,$189.64 
1/13/2025,$192.29 ,13169060,$191.35 ,$192.49 ,$188.66 
1/10/2025,$193.17 ,20753790,$195.42 ,$197.62 ,$191.60 
1/8/2025,$195.39 ,14335340,$193.95 ,$197.64 ,$193.75 
1/7/2025,$196.71 ,16966760,$198.27 ,$202.14 ,$195.94 
1/6/2025,$197.96 ,19483320,$195.15 ,$199.56 ,$195.06 
1/3/2025,$193.13 ,12874960,$192.73 ,$194.50 ,$191.35 
1/2/2025,$190.63 ,17545160,$191.49 ,$193.20 ,$188.71 
12/31/2024,$190.44 ,14355220,$192.45 ,$193.25 ,$189.58 
12/30/2024,$192.69 ,12209530,$190.87 ,$193.78 ,$190.36 
12/27/2024,$194.04 ,14692990,$196.47 ,$196.80 ,$191.97 
12/26/2024,$197.10 ,7918434,$196.74 ,$198.16 ,$195.87 
12/24/2024,$197.57 ,6809823,$196.17 ,$197.67 ,$195.20 
12/23/2024,$195.99 ,15235940,$194.03 ,$196.49 ,$191.63 
12/20/2024,$192.96 ,45319700,$187.01 ,$194.14 ,$186.37 
12/19/2024,$189.70 ,26981200,$193.28 ,$194.60 ,$189.52 
12/18/2024,$190.15 ,27638420,$196.83 ,$198.69 ,$189.28 
12/17/2024,$197.12 ,24129480,$198.53 ,$202.88 ,$196.69 
12/16/2024,$198.16 ,32248640,$194.37 ,$200.64 ,$194.11 
12/13/2024,$191.38 ,18883220,$192.71 ,$194.34 ,$191.26 
12/12/2024,$193.63 ,25197760,$196.30 ,$196.71 ,$193.28 
12/11/2024,$196.71 ,41664490,$186.70 ,$196.89 ,$186.26 
12/10/2024,$186.53 ,34317440,$184.54 ,$188.03 ,$182.67 
12/9/2024,$177.10 ,19887790,$175.72 ,$178.04 ,$175.40 
12/6/2024,$176.49 ,13319550,$173.88 ,$176.84 ,$173.55 
12/5/2024,$174.31 ,16145520,$177.32 ,$177.71 ,$174.01 
12/4/2024,$176.09 ,18239840,$172.78 ,$176.43 ,$172.75 
12/3/2024,$173.02 ,15721480,$173.12 ,$174.32 ,$172.51 
12/2/2024,$172.98 ,16593440,$170.32 ,$173.60 ,$170.27 
11/29/2024,$170.49 ,9250712,$170.06 ,$170.87 ,$168.75 
11/27/2024,$170.82 ,12433370,$170.68 ,$171.14 ,$169.67 
11/26/2024,$170.62 ,14937480,$169.49 ,$171.50 ,$169.43 
11/25/2024,$169.43 ,21395650,$167.99 ,$170.46 ,$167.40 
11/22/2024,$166.57 ,24497040,$167.16 ,$168.26 ,$165.71 
11/21/2024,$169.24 ,38839430,$175.46 ,$175.58 ,$165.31 
11/20/2024,$177.33 ,15729810,$178.83 ,$179.11 ,$175.33 
11/19/2024,$179.58 ,15392870,$175.24 ,$180.17 ,$175.12 
11/18/2024,$176.80 ,18725420,$174.96 ,$176.91 ,$174.42 
11/15/2024,$173.89 ,21708870,$175.64 ,$175.88 ,$172.75 
11/14/2024,$177.35 ,17925760,$179.75 ,$180.45 ,$176.03 
11/13/2024,$180.49 ,13969710,$182.15 ,$182.62 ,$180.12 
11/12/2024,$183.32 ,14065850,$181.38 ,$184.03 ,$180.99 
11/11/2024,$181.97 ,12503420,$180.07 ,$182.09 ,$179.99 
11/8/2024,$179.86 ,15021550,$182.00 ,$182.35 ,$179.57 
11/7/2024,$182.28 ,16730410,$179.11 ,$182.58 ,$178.89 
11/6/2024,$178.33 ,27061510,$175.35 ,$178.64 ,$175.04 
11/5/2024,$171.41 ,12518280,$170.83 ,$172.10 ,$170.37 
11/4/2024,$170.68 ,16193990,$171.24 ,$171.92 ,$169.49 
11/1/2024,$172.65 ,21752860,$171.54 ,$173.82 ,$170.31 
10/31/2024,$172.69 ,32801900,$174.72 ,$178.42 ,$172.56 
10/30/2024,$176.14 ,49698310,$182.41 ,$183.79 ,$175.75 
10/29/2024,$171.14 ,28916110,$169.39 ,$171.86 ,$168.66 
10/28/2024,$168.34 ,20858250,$170.59 ,$170.61 ,$165.79 
10/25/2024,$166.99 ,14566410,$165.37 ,$167.40 ,$165.23 
10/24/2024,$164.53 ,12764430,$164.59 ,$165.05 ,$162.77 
10/23/2024,$164.48 ,12754280,$166.43 ,$167.60 ,$163.63 
10/22/2024,$166.82 ,11958620,$164.70 ,$167.47 ,$164.67 
10/21/2024,$165.80 ,11384050,$164.58 ,$166.22 ,$164.31 
10/18/2024,$165.05 ,13091270,$164.87 ,$166.37 ,$164.75 
10/17/2024,$164.51 ,15113360,$167.38 ,$167.93 ,$164.37 
10/16/2024,$166.74 ,9968474,$166.03 ,$167.28 ,$165.22 
10/15/2024,$166.90 ,14829340,$167.14 ,$169.09 ,$166.05 
10/14/2024,$166.35 ,9981765,$164.91 ,$167.62 ,$164.78 
10/11/2024,$164.52 ,10945970,$163.33 ,$165.27 ,$162.50 
10/10/2024,$163.18 ,12900490,$162.11 ,$164.31 ,$161.64 
10/9/2024,$163.06 ,19666410,$164.86 ,$166.26 ,$161.12 
10/8/2024,$165.70 ,11723890,$165.43 ,$166.10 ,$164.31 
10/7/2024,$164.39 ,14034720,$169.14 ,$169.90 ,$164.13 
10/4/2024,$168.56 ,11435320,$169.34 ,$169.55 ,$166.96 
10/3/2024,$167.21 ,11004330,$165.82 ,$167.91 ,$165.37 
10/2/2024,$167.31 ,12744980,$167.76 ,$168.88 ,$166.25 
10/1/2024,$168.42 ,18629510,$168.86 ,$170.44 ,$165.90 
9/30/2024,$167.19 ,14083450,$164.78 ,$167.36 ,$164.64 
9/27/2024,$165.29 ,13604260,$163.91 ,$166.97 ,$163.83 
9/26/2024,$163.83 ,18234500,$165.03 ,$165.50 ,$163.50 
9/25/2024,$162.99 ,13607890,$162.97 ,$164.22 ,$162.78 
9/24/2024,$163.64 ,18774060,$164.25 ,$164.55 ,$162.03 
9/23/2024,$163.07 ,15648450,$165.34 ,$166.61 ,$162.95 
9/20/2024,$164.64 ,46362670,$164.52 ,$164.75 ,$163.18 
9/19/2024,$163.24 ,17548190,$164.82 ,$164.99 ,$162.52 
9/18/2024,$160.81 ,16756450,$160.85 ,$161.63 ,$159.66 
9/17/2024,$160.28 ,12064790,$160.09 ,$161.59 ,$159.41 
9/16/2024,$158.99 ,14157610,$158.33 ,$159.24 ,$157.61 
9/13/2024,$158.37 ,16733910,$156.36 ,$159.28 ,$156.11 
9/12/2024,$155.54 ,21024060,$154.81 ,$155.61 ,$153.50 
9/11/2024,$152.15 ,18991490,$151.09 ,$152.48 ,$148.70 
9/10/2024,$150.01 ,20401770,$151.45 ,$152.30 ,$149.54 
9/9/2024,$149.54 ,28057750,$153.63 ,$154.64 ,$148.20 
9/6/2024,$152.13 ,24999060,$158.69 ,$159.22 ,$151.94 
9/5/2024,$158.60 ,14139500,$157.78 ,$161.02 ,$157.52 
9/4/2024,$157.81 ,17410650,$158.08 ,$160.40 ,$157.44 
9/3/2024,$158.61 ,26533110,$163.32 ,$163.38 ,$157.86 
8/30/2024,$165.11 ,18498780,$164.22 ,$165.28 ,$163.41 
8/29/2024,$163.40 ,17133830,$166.06 ,$167.63 ,$161.98 
8/28/2024,$164.50 ,15208740,$166.78 ,$167.39 ,$163.28 
8/27/2024,$166.38 ,13718160,$167.61 ,$168.25 ,$166.16 
8/26/2024,$167.93 ,11990310,$168.16 ,$169.38 ,$166.32 
8/23/2024,$167.43 ,14281620,$166.55 ,$167.95 ,$165.66 
8/22/2024,$165.49 ,19123780,$169.04 ,$169.42 ,$165.03 
8/21/2024,$167.63 ,15269550,$166.99 ,$168.64 ,$166.57 
8/20/2024,$168.96 ,12622520,$168.74 ,$170.41 ,$168.66 
8/19/2024,$168.40 ,13100760,$167.00 ,$168.47 ,$166.09 
